muestra	AC	Brix	pH	LF	DE	PFF	PFF/PSS	Brix/ac	Brix/pH	FT		
UAA1	0.29	11.67	4.4	18.59	20.85	5.45	23.7	40.2	2.65	41.13		
UAA2	2.18	8.93	3.07	18.52	21.25	5.84	15.4	4.1	2.91	28.82		
UAA3	1.5	10.5	3.31	18.42	20.73	5.15	19.8	7	3.17	29.30		
UAA4	1.49	5.47	3.1	14.94	17.7	3.28	14.3	3.7	1.76	35.36		
UAA5	2.76	7.63	3.21	19.33	20.38	5.03	18.6	2.8	2.38	30.69		
UAA6	0.52	10.9	4.34	22.8	23.18	8	14	21	2.51	24.28		
UAA7	1.66	8.17	3.14	20.72	23.77	7.53	21.5	4.9	2.6	29.78		
UAA10	1.3	11.73	3.43	19.56	20.24	5.19	17.3	9	3.42	28.14		
UAA11	0.86	7	3.61	14.93	15.57	2.35	11.8	8.1	1.94	28.18		
UAA12	1.64	6.47	3.32	16.41	17.39	3.17	12.2	3.9	1.95	27.61		
UAA13	2.01	8.87	3.48	14.5	15.82	2.65	9.8	4.4	2.55	27.39		
UAA14	1.86	8.1	3.33	15	19.59	3.52	11	4.4	2.43	35.84		
UAA15	1.2	8.7	3.37	14.51	19.42	3.69	13.7	7.3	2.58	28.87		
UAA16	0.94	8.7	3.54	17.11	18.59	3.63	11.7	9.3	2.46	27.46		
UAA17	1.18	11.97	3.4	17.08	20.85	5.18	14.8	10.1	3.52	37.46		
