	35_rawREADS	35_qual	35_Trimmed	35_qual_trimmed
UMAG_00001	74.13 	71.58 	73.38 	71.83 
UMAG_00002	17.02 	17.37 	16.85 	17.59 
UMAG_00003	28.22 	25.66 	27.93 	25.93 
UMAG_00005	102.57 	101.45 	103.09 	102.79 
UMAG_00006	98.54 	99.21 	97.99 	100.41 
UMAG_00007	111.75 	111.98 	110.62 	107.95 
UMAG_00008	12.32 	12.50 	12.41 	12.70 
UMAG_00009	107.49 	118.82 	107.08 	115.49 
UMAG_00011	80.17 	74.47 	80.69 	75.67 
UMAG_00012	375.33 	366.45 	371.77 	370.93 
UMAG_00013	90.92 	89.21 	90.01 	89.82 
UMAG_00017	71.21 	67.24 	70.72 	67.47 
UMAG_00020	208.04 	198.42 	207.50 	200.15 
UMAG_00025	2.46 	2.63 	2.44 	2.65 
UMAG_00026	95.85 	96.98 	94.88 	96.04 
UMAG_00027	1.34 	1.05 	1.11 	0.93 
UMAG_00028	214.31 	243.16 	224.79 	242.88 
UMAG_00029	21.95 	21.18 	21.73 	20.64 
UMAG_00030	7.61 	8.03 	7.54 	7.80 
UMAG_00031	59.12 	58.29 	58.97 	59.26 
UMAG_00032	0.67 	0.53 	0.67 	0.53 
UMAG_00034	9.41 	10.00 	9.53 	9.92 
UMAG_00036	179.60 	175.92 	177.57 	163.77 
UMAG_00037	1.79 	1.84 	1.77 	1.85 
UMAG_00038	15.23 	14.74 	15.07 	14.82 
UMAG_00039	66.96 	67.24 	66.73 	68.39 
UMAG_00040	30.46 	30.53 	30.15 	30.43 
UMAG_00041	50.39 	51.32 	49.44 	51.72 
UMAG_00042	26.43 	25.66 	26.82 	26.33 
UMAG_00043	147.35 	150.27 	146.54 	153.32 
UMAG_00045	153.40 	156.98 	154.74 	161.26 
UMAG_00046	23.51 	23.29 	23.28 	23.55 
UMAG_00047	21.95 	19.47 	21.73 	19.84 
UMAG_00048	64.72 	58.42 	65.18 	58.60 
UMAG_00049	16.57 	13.68 	17.07 	13.89 
UMAG_00050	47.48 	42.37 	46.78 	42.20 
UMAG_00052	79.50 	76.19 	79.14 	76.06 
UMAG_00053	19.93 	17.50 	20.84 	17.86 
UMAG_00054	13.88 	14.74 	13.97 	15.08 
UMAG_00055	12.99 	11.32 	12.86 	11.91 
UMAG_00056	212.97 	214.35 	210.83 	215.49 
UMAG_00057	63.82 	59.74 	65.62 	60.85 
UMAG_00058	31.13 	29.34 	31.26 	29.90 
UMAG_00059	128.77 	117.76 	127.91 	120.51 
UMAG_00060	7.39 	7.50 	7.98 	7.54 
UMAG_00061	19.71 	17.63 	19.51 	17.86 
UMAG_00062	1.34 	1.45 	1.33 	1.46 
UMAG_00063	4.48 	4.74 	4.43 	4.89 
UMAG_00064	0.00 	0.00 	0.00 	0.00 
UMAG_00067	212.30 	211.58 	213.26 	215.36 
UMAG_00068	32.70 	32.90 	32.37 	33.20 
UMAG_00071	25.31 	23.29 	24.83 	23.94 
UMAG_00072	81.52 	77.50 	80.47 	77.92 
UMAG_00074	135.71 	119.08 	135.23 	122.10 
UMAG_00076	89.80 	88.16 	89.34 	89.56 
UMAG_00077	13.44 	14.21 	13.30 	14.29 
UMAG_00078	54.19 	53.42 	54.98 	55.03 
UMAG_00079	7.39 	6.97 	7.09 	6.61 
UMAG_00080	55.09 	52.50 	54.76 	53.84 
UMAG_00081	424.37 	402.77 	419.66 	403.47 
UMAG_00082	12038.54 	11874.12 	11918.44 	12019.43 
UMAG_00083	0.90 	0.53 	0.89 	0.53 
UMAG_00084	72.78 	77.63 	72.27 	76.99 
UMAG_00085	31.35 	28.68 	30.59 	28.97 
UMAG_00087	81.07 	78.03 	80.69 	78.45 
UMAG_00089	68.53 	68.69 	70.50 	71.70 
UMAG_00090	28.89 	28.16 	29.04 	28.18 
UMAG_00091	23.29 	22.24 	23.72 	22.36 
UMAG_00092	88.46 	85.00 	88.68 	85.85 
UMAG_00094	2782.72 	2671.88 	2793.95 	2723.78 
UMAG_00095	418.55 	407.64 	415.67 	403.74 
UMAG_00096	3561.15 	3624.39 	3528.40 	3646.35 
UMAG_00097	112.64 	113.95 	112.17 	114.56 
UMAG_00098	58.23 	57.50 	57.64 	58.07 
