	radicula_V0	raiz_prim_V1	cuello_raiz_V3	raiz_V3	raiz_R5	hipo_V0	epi_V1	hipo_V1	tallo_V4b	nodo_tallo_R5	cotiledones_V1	hoja_prim_V1	PrihojaTrifol_V2	hoja_prim_V2	hoja_trifol_V4b	hoja_trifol_R5	flor_R6	SmallPod_R7	MediumPod_R8	MaturePod_R9	MP_woSeed_R9	InmSeed_R9	emb+cotil_V0	AM_V4b	AM_R5
BEAN10B000007	6.004	7.341	5.809	5.913	6.152	5.919	6.108	7.270	6.183	6.428	6.330	6.071	5.216	5.123	5.176	5.919	6.246	6.269	6.216	6.105	6.451	5.784	6.147	5.722	5.546
BEAN10B000008	4.373	4.954	5.063	4.650	4.422	5.371	6.242	5.739	5.011	5.421	6.412	6.554	6.649	6.478	6.507	6.768	4.640	6.023	5.573	5.425	5.956	3.038	6.593	6.301	6.231
BEAN10B000012	7.369	7.223	7.035	7.459	7.059	6.891	6.246	6.517	7.231	7.065	5.722	5.633	6.082	5.924	5.720	6.171	6.996	6.387	6.728	6.581	7.014	5.979	6.552	6.740	6.715
BEAN10B000013	9.327	8.660	8.748	8.871	9.306	9.298	9.159	9.046	8.977	8.703	8.297	9.038	7.902	6.639	7.672	8.017	8.053	8.951	8.699	8.612	8.935	8.527	9.033	9.042	9.387
BEAN10B000014	5.582	5.815	5.948	5.309	5.471	5.418	5.751	5.475	6.075	5.630	4.147	5.221	4.649	4.442	4.376	5.117	3.320	5.539	5.613	5.714	5.739	4.937	4.391	5.813	5.603
BEAN10B000015	4.047	4.287	4.525	3.965	4.196	3.531	3.824	3.979	4.300	4.816	4.623	3.634	3.327	2.960	3.376	3.947	2.835	4.199	4.474	4.134	4.646	3.900	4.702	4.211	3.966
BEAN10B000016	4.961	3.946	6.021	5.326	6.012	5.509	4.840	4.542	5.990	5.485	1.261	3.464	4.723	4.510	4.261	5.263	4.241	5.725	4.644	5.394	4.400	4.688	4.826	6.763	6.740
BEAN10B000017	8.164	9.077	7.414	9.024	7.857	4.097	4.127	7.351	4.200	6.657	1.782	3.322	3.323	3.475	2.989	4.422	3.773	5.072	5.381	5.075	5.617	4.541	5.771	4.270	3.378
BEAN10B000018	5.572	5.273	4.936	5.745	5.067	6.545	6.981	6.519	5.084	6.022	6.817	8.050	8.618	8.164	7.849	7.988	7.173	7.380	7.056	7.023	6.613	5.307	7.524	7.321	8.010
BEAN10B000019	2.661	2.630	5.209	3.405	4.507	2.973	3.304	2.908	4.597	4.376	-1.278	1.429	0.651	-1.327	-0.349	1.533	1.524	3.971	3.042	4.133	2.133	0.969	2.664	3.915	3.746
BEAN10B000020	4.304	4.210	4.836	3.929	4.956	5.926	6.094	5.127	5.884	5.375	4.039	6.639	6.775	4.589	6.065	6.735	3.001	6.497	5.386	6.049	5.732	3.611	5.030	7.005	6.752
BEAN10B000021	0.000	-6.322	-5.601	0.000	-6.703	0.000	-2.204	-4.252	3.120	2.049	0.000	0.000	0.000	-2.871	-1.933	0.202	0.000	-7.002	0.000	0.000	0.000	0.000	0.000	-5.506	-3.247
BEAN10B000032	-0.836	-3.148	-1.277	-4.254	-1.317	-4.729	-2.982	-1.313	-1.117	1.021	-2.108	-2.379	-1.321	-2.871	-1.414	0.533	-0.956	-1.834	0.454	-4.587	-1.176	0.000	-2.929	1.779	0.547
BEAN10B000044	3.749	2.154	3.719	3.623	3.158	3.559	2.283	2.308	2.630	2.606	0.276	1.491	3.756	1.906	2.952	3.473	2.564	3.469	2.396	1.747	1.873	-3.289	1.498	4.466	4.797
BEAN10B000045	2.092	-0.128	1.979	3.005	1.923	-4.146	0.000	-2.837	-3.924	-4.651	-4.279	0.000	0.000	0.000	0.000	0.000	-3.619	0.000	0.000	0.000	0.000	-5.098	-0.719	0.000	0.000
BEAN10B000046	4.755	4.310	5.106	4.603	4.484	4.923	4.357	4.709	4.208	4.545	4.346	4.009	5.040	5.099	5.219	5.514	5.163	5.492	5.136	5.345	5.263	3.127	4.321	4.816	4.763
BEAN10B000047	1.175	-0.128	0.827	0.159	1.078	1.469	0.341	0.293	1.551	1.498	-0.471	-0.056	-1.321	-1.286	-0.241	0.792	0.320	1.146	0.490	0.723	0.840	-0.369	1.037	1.602	1.261
BEAN10B000048	3.095	5.816	5.099	2.556	3.370	5.108	5.867	7.348	4.263	4.764	5.389	7.566	6.019	6.762	5.781	5.957	3.561	4.125	1.154	2.936	0.935	-0.887	3.591	4.343	4.557
BEAN10B000049	7.684	5.259	5.357	5.341	4.088	7.784	6.076	6.174	7.082	5.937	4.325	4.574	5.611	5.606	5.415	5.816	4.195	6.203	7.529	8.289	6.866	5.688	6.921	6.016	5.607
BEAN10B000050	5.671	5.618	6.069	5.622	6.147	5.755	5.635	5.493	5.830	5.882	3.907	5.153	4.095	3.062	4.043	5.055	3.718	5.629	5.360	5.226	5.926	4.288	4.119	5.971	5.741
BEAN10B000051	-4.206	-6.322	-3.014	-0.711	2.679	-3.731	-3.204	-5.837	0.000	0.000	1.380	-1.378	-0.852	-3.870	-1.796	0.144	0.000	-0.612	3.248	-1.128	-3.635	6.471	5.306	-5.506	-1.999
BEAN10B000052	5.170	5.206	5.656	5.202	4.095	4.869	5.333	4.690	5.284	4.629	4.480	4.492	3.799	3.526	3.471	4.159	3.304	4.421	4.333	4.202	4.583	3.365	4.422	4.613	4.425
BEAN10B000053	4.717	5.079	5.384	4.803	4.755	4.345	4.668	4.813	5.204	4.791	4.742	4.570	4.001	3.772	3.808	4.502	3.793	4.613	4.313	4.204	4.622	3.730	4.951	4.991	4.819
BEAN10B000054	9.255	7.666	7.759	8.039	8.640	8.907	8.080	7.306	8.150	7.886	6.396	7.251	7.731	5.143	7.257	7.346	7.234	8.886	7.868	8.260	7.902	7.629	8.680	9.004	9.046
BEAN10B000055	5.121	3.524	4.515	3.853	4.516	5.278	4.281	3.665	4.059	4.136	2.510	3.261	3.514	2.629	3.062	3.547	4.385	4.416	4.864	4.749	4.766	3.401	4.026	4.278	4.883
BEAN10B000056	4.181	2.939	3.887	2.785	3.029	3.642	3.473	2.984	3.712	3.478	1.851	2.706	2.178	0.556	1.989	2.879	1.396	3.931	3.475	3.241	3.666	2.648	3.557	4.364	4.376
BEAN10B000057	-1.542	1.470	0.259	4.444	5.264	0.000	-5.788	-3.837	-1.754	1.887	-6.276	-4.078	-5.021	0.000	0.000	-6.455	0.841	-1.004	-4.546	-3.587	-4.637	0.000	-4.342	-5.506	-4.246
BEAN10B000058	1.924	1.935	5.314	6.170	4.732	0.459	2.189	1.687	0.324	1.634	0.921	0.413	0.264	-4.455	-1.796	-0.675	0.629	-0.960	0.663	-2.172	0.535	-1.573	-0.469	0.969	0.648
BEAN10B000059	3.308	1.832	3.034	4.645	3.309	3.385	3.901	-0.444	-3.339	-3.067	-2.957	1.121	0.188	-3.134	-1.555	-4.135	-2.034	-1.449	-2.283	-2.713	-5.637	-0.031	0.892	-4.506	-1.293
BEAN10B000061	1.802	0.842	0.861	0.683	1.762	1.269	0.381	0.657	2.502	-0.259	-2.108	-2.379	-5.021	-2.997	-4.033	-2.871	0.381	1.220	0.567	2.797	0.387	-0.396	-1.071	-2.337	-2.160
BEAN10B000063	2.636	3.131	4.380	2.918	3.558	2.708	3.764	3.155	3.416	4.110	3.081	2.946	1.956	2.024	2.304	3.751	2.389	3.784	3.680	3.252	3.925	3.048	3.585	4.817	4.277
BEAN10B000064	4.518	6.045	6.405	5.953	5.208	4.934	5.825	5.752	5.356	6.107	6.908	5.406	5.083	4.968	5.092	5.439	7.020	5.785	6.402	5.728	6.550	4.376	7.900	6.042	5.684
BEAN10B000065	4.790	5.224	6.506	5.704	5.583	4.670	4.875	5.231	5.656	5.752	5.610	4.909	4.458	4.506	4.811	5.502	6.228	5.228	5.568	5.157	5.880	4.430	5.512	5.381	5.116
BEAN10B000066	4.060	5.391	6.088	5.497	5.411	7.651	7.216	5.453	6.079	6.572	3.727	5.323	7.433	4.177	3.682	3.586	5.154	3.424	3.472	3.340	4.128	5.945	3.500	3.527	4.472
BEAN10B000067	2.802	3.129	3.909	3.030	3.233	2.644	4.036	2.956	3.727	3.661	2.635	3.944	2.824	2.345	2.750	3.610	2.197	3.664	3.146	2.870	3.009	2.334	3.593	4.416	4.080
BEAN10B000068	7.851	7.255	7.095	7.216	7.937	7.502	7.227	6.490	7.397	7.091	5.951	6.392	6.537	4.711	6.226	6.438	6.586	7.094	7.170	7.161	6.456	6.768	7.995	7.882	7.756
BEAN10B000069	6.112	6.634	7.010	7.533	6.787	7.128	7.293	6.763	7.194	7.439	5.682	6.821	7.172	5.960	5.843	6.186	6.839	6.404	6.819	6.590	6.856	7.066	5.477	6.460	6.626
BEAN10B000070	6.241	6.393	4.986	5.297	5.734	5.901	5.835	6.526	5.482	5.926	5.940	5.648	4.795	5.489	5.112	5.374	6.638	5.880	6.247	6.059	6.168	5.642	6.474	4.775	4.610
BEAN10B000071	6.861	6.956	7.101	6.607	7.067	7.455	6.905	6.926	7.408	6.985	5.550	6.842	6.318	5.930	6.246	6.893	5.297	6.998	6.557	6.813	6.831	5.557	5.394	7.518	7.396
BEAN10B000072	-0.236	1.463	4.418	4.448	3.620	0.291	0.118	0.503	1.030	1.992	0.061	1.551	-3.436	-1.701	-1.519	0.451	4.111	0.968	0.454	-0.106	-0.176	-3.511	-0.201	1.275	1.162
BEAN10B000075	6.013	6.964	6.866	6.519	6.831	5.706	6.865	6.536	7.237	7.230	6.606	7.065	6.298	5.871	5.875	6.670	5.698	6.098	6.388	5.894	6.651	4.929	6.348	6.611	6.491
BEAN10B000076	5.746	6.222	6.368	6.258	6.058	5.664	6.267	6.401	5.116	5.779	6.899	6.056	4.708	4.227	4.070	5.099	5.517	5.755	5.765	5.679	5.629	5.540	6.236	5.174	5.471
BEAN10B000077	3.826	4.226	4.575	2.828	3.925	1.223	2.520	5.939	6.489	4.606	4.637	5.494	1.706	0.159	1.683	2.976	3.639	2.380	1.624	1.420	0.295	2.645	1.866	1.653	1.892
BEAN10B000079	3.486	5.521	7.219	6.817	5.448	2.341	3.145	4.409	3.737	4.558	3.900	2.326	2.672	2.421	3.183	2.962	8.660	2.691	3.835	2.428	4.088	2.551	3.996	1.683	2.304
BEAN10B000086	-2.983	-1.460	0.741	3.057	2.321	-3.410	-1.982	0.000	0.000	0.000	0.000	-6.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.469	-3.506	0.000
BEAN10B000087	2.545	2.053	2.031	1.319	1.450	3.992	4.168	3.007	3.030	3.162	4.789	4.735	4.964	5.330	5.314	5.420	3.049	4.491	3.997	4.121	4.288	0.991	5.761	5.037	4.860
BEAN10B000088	3.973	4.056	4.201	3.239	3.661	4.271	4.038	3.475	3.955	3.657	1.750	3.759	4.615	4.267	4.437	4.849	1.411	4.406	3.817	4.312	3.963	2.507	3.545	4.906	4.559
BEAN10B000089	3.167	5.406	1.499	2.204	2.557	4.476	3.882	3.810	3.730	2.206	1.722	3.391	4.474	3.833	4.102	4.373	3.355	5.458	3.604	5.492	2.892	3.365	4.433	5.703	5.747
BEAN10B000090	6.706	5.885	5.273	7.987	6.505	-1.483	-2.088	-2.252	0.000	-0.652	-1.278	-1.172	0.000	-3.649	-5.254	-5.455	0.000	-1.682	-3.060	-2.587	-4.637	0.000	3.553	-1.922	-3.247
BEAN10B000091	3.880	2.788	2.663	2.881	4.314	3.988	2.807	2.318	3.943	3.249	2.539	2.003	2.494	0.439	2.689	3.541	1.976	4.335	3.539	3.295	3.853	2.886	4.721	4.790	4.384
BEAN10B000092	5.062	5.690	5.515	4.905	5.135	5.174	5.482	5.184	6.028	5.495	4.332	5.151	4.829	3.924	4.578	5.203	3.276	5.393	5.198	5.306	5.454	4.814	4.627	5.682	5.756
BEAN10B000093	-2.621	-4.733	-3.014	-4.841	-4.125	-3.410	-1.145	-4.252	-4.926	-4.651	0.000	-3.493	-4.021	0.000	-5.837	-6.455	-2.204	4.177	2.905	5.374	-4.637	-0.074	-4.930	-1.507	-1.389
BEAN10B000094	3.768	3.209	4.020	2.992	3.652	3.364	3.217	2.512	3.672	3.766	2.542	2.136	3.442	2.060	2.937	3.431	1.727	4.296	3.888	4.000	3.669	3.419	4.298	4.692	4.297
BEAN10B000095	0.733	-0.274	-0.351	4.013	3.179	0.000	0.000	0.000	0.000	0.000	-2.471	-5.078	0.000	0.000	-6.845	-5.455	0.000	-5.417	-1.739	-1.924	-5.637	0.000	-0.841	0.000	0.000
BEAN10B000096	6.612	6.862	7.046	7.770	7.550	6.757	6.932	6.613	6.042	6.690	6.325	6.888	6.691	6.162	6.068	6.545	7.864	6.875	6.736	6.741	6.173	8.349	6.548	7.101	7.448
BEAN10B000097	5.101	5.085	5.665	5.168	5.599	5.294	5.820	5.338	5.335	5.497	5.209	5.773	4.293	3.517	3.945	4.938	4.730	5.270	5.095	5.195	5.333	5.351	5.271	5.518	5.646
BEAN10B000098	3.574	4.225	8.992	9.513	5.737	2.924	5.583	4.479	1.502	4.884	5.182	4.967	3.123	3.170	2.894	4.830	3.768	4.964	3.557	1.729	4.547	2.122	5.038	5.327	4.410
BEAN10B000099	6.939	6.347	6.625	6.696	6.803	6.944	5.804	5.850	7.104	6.784	5.419	6.069	5.448	5.611	5.841	6.666	7.121	6.471	6.244	6.308	6.642	4.818	6.114	6.444	6.260
BEAN10B000101	3.541	4.040	3.923	2.874	3.951	3.466	4.330	4.106	2.877	4.191	4.688	3.962	3.092	1.945	2.545	3.394	4.247	3.453	3.885	3.850	3.851	3.961	5.698	3.837	3.965
BEAN10B000102	0.439	0.396	-3.276	-1.841	-4.387	-4.729	-2.088	0.000	0.000	0.000	-6.276	1.615	3.400	3.541	2.506	1.801	1.335	0.512	1.154	1.229	0.000	1.852	-0.314	-0.752	2.307
BEAN10B000103	6.687	6.666	7.947	7.395	7.195	6.906	8.366	7.553	6.314	7.422	8.426	7.875	5.948	5.127	5.464	6.648	6.699	6.905	7.220	6.625	7.484	7.776	7.436	7.424	7.142
BEAN10B000104	5.327	4.771	4.969	4.909	5.499	5.329	4.960	4.399	5.742	5.338	3.399	4.048	4.379	3.099	3.842	4.792	3.851	5.518	4.880	5.432	5.153	5.682	4.127	5.672	5.606
